Account,rows,realized_trades,realized_rate,notional_usd,gross_pnl,fees,net_pnl,avg_net_per_row,avg_net_per_realized,median_net_realized,win_rate_realized,profit_factor,gross_win_sum,gross_loss_sum,pnl_per_1k_notional,avg_fee_bps
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14733.0,6279.0,0.4261861128079821,56543565.230000004,2143382.597689,15995.318251820001,2127387.27943718,144.39606865113555,340.23480995906993,21.828916,0.7695492912884218,34.688228997847474,2199749.233104,-63414.861371,37.623861721200136,2.8288485500969887
0x083384f897ee0f19899168e3b1bec365f52a9012,3818.0,1732.0,0.4536406495547407,61697263.970000006,1600229.819979,7405.312304,1592824.507675,417.18818954295443,921.8160957863741,73.545345,0.7927251732101617,4.69338671125476,2028867.717137,-432282.239235,25.81677703649068,1.2002659157788256
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21192.0,9997.0,0.4717346168365421,68036340.24000001,940163.8062200001,8596.705666218999,931567.100553781,43.95843245346268,93.5029064253276,6.997528,0.9716915074522356,16010.069077300228,934806.944223,-58.388689,13.692198864131333,1.2635461631084048
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,40184.0,22551.0,0.5611935098546685,74107810.44,836080.553077,13352.89970895,822727.65336805,20.474010884134234,36.689810134317774,3.222854,0.7591237639129085,3.807331188957315,1122117.3442240001,-294725.43588500004,11.101767121215328,1.8018208377322018
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236.0,5482.0,0.4480222294867604,420876556.36,840422.555216,76424.64289168999,763997.91232431,62.4385348418037,146.49117255344765,8.620975,0.8828894564027727,5.546565523142073,979695.6503920001,-176631.04245399998,1.8152541422877888,1.8158446161187363
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4356.0,2233.0,0.5126262626262627,39572949.25,677747.0506429999,8025.99239419,669721.05824881,153.74679941432737,301.5183461455441,30.22704,0.948499776085983,51.35180349668017,686662.19189,-13371.724946999999,16.92370851659003,2.0281511856713585
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1590.0,737.0,0.46352201257861636,11474500.920000002,429355.56591500004,1551.43726629,427804.12864871003,269.0592004079937,581.7341082455902,18.435791,0.746268656716418,7.430603562720006,495409.5459169999,-66671.50814,37.28302709035906,1.3520738523676026
0x430f09841d65beb3f27765503d0f850b8bce7713,1237.0,599.0,0.48423605497170574,2966109.2199999997,416541.872341,747.0069310000001,415794.86540999997,336.1316616087308,694.9735368397329,135.440462,1.0,inf,416289.148567,0.0,140.18191326413802,2.518474120787771
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1430.0,564.0,0.3944055944055944,3051144.33,403011.504159,290.01104816,402721.49311084,281.62342175583217,714.3422619609929,48.504005,0.776595744680851,10.269005764077718,446355.29803999997,-43466.262294,131.9903123399082,0.9504992776267649
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893.0,8660.0,0.8753664207015062,25729497.240000002,379095.406711,2595.25914168,376500.14756932005,38.05722708676034,43.57514385519631,11.051523,0.925635103926097,8.538018937859707,427421.743098,-50060.99731200001,14.633016108219921,1.008670755387057
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7584.0,2949.0,0.3888449367088608,129672529.28,308975.869716,40724.467403,268251.402313,35.37070178177743,97.87915691692098,36.633278000000004,0.9162427941675144,2.3280756560806677,505986.89170000004,-217341.257952,2.068683350301348,3.1405624328545527
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2641.0,1177.0,0.4456645210147671,20737391.709999997,220519.06185300002,4773.09848443,215745.96336856997,81.69101225617946,185.3108707884452,28.289958,0.7323704333050127,1.6427241251584968,557464.727115,-339353.8321969999,10.403717419511965,2.301686996696076
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383.0,90.0,0.2349869451697128,1987527.61,199505.59273200002,267.967088979,199237.625643021,520.2026779191149,2215.6369174111114,461.36320750000004,1.0,inf,199407.32256700002,0.0,100.24395366413097,1.348243353353969
0x2c229d22b100a7beb69122eed721cee9b24011dd,3239.0,2060.0,0.6359987650509417,10166880.2,168658.00499400002,3108.1967219999997,165549.808272,51.11139495893794,81.19618443592233,12.034312500000002,0.8145631067961165,14.44806866959215,179701.921455,-12437.781517,16.28324569733791,3.0571784666057145
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13311.0,6772.0,0.5087521598677786,6757022.1,132464.814554,2218.3673664508997,130246.44718754909,9.784873201678995,19.398085736119317,3.24166,0.8533668044890727,4.352848419120604,170543.608603,-39179.771998,19.27571721092182,3.2830547741599068
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3052.0,892.0,0.29226736566186107,10992355.74,126578.942134,2821.95879926,123756.98333474,40.549470293165136,140.63839811322867,42.697958,0.9708520179372198,162.23852219071998,126227.48759,-778.036473,11.258458720035929,2.5672011223137505
0x6d6a4b953f202f8df5bed40692e7fd865318264a,975.0,426.0,0.4369230769230769,728057.51,108731.216772,186.8360769324,108544.3806950676,111.32756994365907,254.9872761338028,100.5021395,0.9835680751173709,1090.7321327530315,108724.25970699999,-99.68007399999999,149.08764651719284,2.5662269033170197
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15605.0,5561.0,0.356360140980455,19868207.98,106302.875256,2287.9554331042,104014.9198228958,6.665486691630618,18.847432550980038,4.555319,0.9699694299586405,11.26380158901777,115022.24413500002,-10211.671718999998,5.2352441613053715,1.1515660775281455
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8519.0,3663.0,0.42998004460617445,4408828.9,103343.71616099999,1230.8465211819,102112.86963981809,11.986485460713475,28.0510651026481,7.150041,0.8200928200928201,3.4878393174033153,144052.372964,-41301.321493,23.16099625454235,2.7917765672010995
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,417.0,255.0,0.6115107913669064,861809.3999999999,72846.484272,189.93800451000004,72656.54626748999,174.23632198438847,285.3255748235294,63.244618,0.9372549019607843,5.0794214258075865,90593.399195,-17835.377614999998,84.30697816418572,2.2039444511744715
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,563.0,230.0,0.40852575488454707,1677425.7199999997,67845.619531,548.72926461,67296.89026639,119.53266477156305,294.002554073913,101.06007550000001,1.0,inf,67620.587437,0.0,40.11914772976654,3.2712582027775277
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1911.0,714.0,0.37362637362637363,11999173.370000001,65513.65790600001,3384.8822185800004,62128.77568742001,32.51113327442177,89.26102144257705,6.826287500000001,0.8641456582633054,12.146519876648973,69450.06147,-5717.69216,5.177754647895383,2.820929504229673
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,332.0,158.0,0.4759036144578313,1143896.46,53496.247243000005,176.27417591699998,53319.973067083,160.60232851531026,337.867480113924,43.438433,1.0,inf,53383.061857999994,0.0,46.61258683070233,1.5409976521563848
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7280.0,4166.0,0.5722527472527472,12035487.66,47885.32051399999,2729.83788853,45155.48262546999,6.202676184817306,11.093486819251078,1.5970105,0.7695631301008161,2.0645342308045085,89629.256601,-43413.79051200001,3.7518614867218427,2.2681572742603766
0x8477e447846c758f5a675856001ea72298fd9cb5,14998.0,6559.0,0.43732497666355513,12304786.84,43917.008976000005,3792.5430954699996,40124.465880530006,2.675321101515536,6.442306387406616,0.8049860000000001,0.590638816892819,1.6060479179752416,111977.441788,-69722.35419299999,3.260882646913858,3.082168870362975
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,534.0,230.0,0.4307116104868914,4448323.26,21758.831753000002,541.7456094464001,21217.086143553603,39.732371055343826,93.04016552608698,5.9720949999999995,0.7434782608695653,6.4837951026872425,25301.506057000006,-3902.2679859999994,4.769681721277064,1.2178647498887032
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1559.0,746.0,0.47851186658114175,5844484.45,14900.443047,780.21690296,14120.226144039998,9.057232933957664,19.551206265415548,2.7629965,0.9450402144772118,7.209731028464844,16933.965031,-2348.765157,2.4159917379949567,1.3349627492977587
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589.0,1767.0,0.49233769852326553,17193375.419999998,14456.919335999999,1458.6571260700002,12998.26220993002,3.621694680950131,7.739429582342943,1.183139,0.66553480475382,1.0614710247789563,236147.41341799998,-222471.841346,0.7560040941588433,0.8483832234438584
0xb899e522b5715391ae1d4f137653e7906c5e2115,4838.0,2641.0,0.5458867300537412,108877041.10000001,22488.500821,28643.173715000004,-6154.672893999988,-1.2721523137660167,3.30304349526694,3.1052,0.7837940174176449,1.0907318953313694,104867.453886,-96144.11601499999,-0.05652865683911378,2.6307817906892037
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,815.0,570.0,0.6993865030674846,1409902.0,-31203.599986000005,147.07476338,-31350.67474938,-38.46708558206135,-54.874912342105276,-0.005919000000000001,0.4473684210526316,0.6200532690522457,51045.208784999995,-82323.90882,-22.236066584329976,1.0431559312633076
0x271b280974205ca63b716753467d5a371de622ab,3809.0,1607.0,0.421895510632712,33873440.42,-70436.191318,9280.98285,-79717.17416799998,-20.928635906537146,-46.91557895457374,1.123774,0.6645924082140635,0.44273113792321844,59897.438087999995,-135290.77346799997,-2.3533828621946626,2.73989967801446
0x8170715b3b381dffb7062c0298972d4727a0a63b,4601.0,2341.0,0.5088024342534232,10143758.129999999,-167621.12478099996,1579.38545192,-169200.51023292003,-36.7747251103934,-72.05510869799231,8.736768,0.7522426313541222,0.6559854926580131,321650.083739,-490331.0932009999,-16.6802587428137,1.5570022783262087
