classification,Side,rows,realized_trades,realized_rate,notional_usd,gross_pnl,fees,net_pnl,avg_net_per_row,avg_net_per_realized,median_net_realized,win_rate_realized,profit_factor,gross_win_sum,gross_loss_sum,pnl_per_1k_notional,avg_fee_bps
Extreme Fear,BUY,10935.0,3123.0,0.28559670781893004,56441029.67,373043.441701,11155.860353386899,361887.581347613,33.09442902127234,118.63901563400577,2.637382,0.696765930195325,2.283042224614443,659283.9657320001,-288774.319907,6.411782057547516,1.9765515297316685
Extreme Fear,SELL,10465.0,7283.0,0.6959388437649308,58043231.77,366066.806789,12732.773586,353334.03320299997,33.76340498834209,48.93180850693395,8.577316999999999,0.7838802691198682,2.0185120260834126,706263.4919520001,-349893.130596,6.087428670462536,2.193670682648138
Extreme Greed,BUY,17940.0,6500.0,0.36231884057971014,60332842.010000005,188350.754579,12906.86488915,175443.88968985007,9.779481030649391,28.238579451230766,4.42261,0.8529230769230769,1.8449314800234489,400788.223875,-217237.45744199998,2.9079334545647746,2.139276795051478
Extreme Greed,SELL,22052.0,14353.0,0.6508706693270452,64132322.56,2526820.556094,14123.800576,2512696.7555179996,113.94416631226191,175.43054982846795,11.480445999999999,0.9037135093708633,46.22060253928578,2573636.2635399997,-55681.581851999996,39.17988083414891,2.2022905162659994
Fear,BUY,30270.0,9230.0,0.3049223653782623,246841746.10999998,1935073.4390580002,45442.843851154794,1889630.5952068456,62.42585382249242,207.94944477193934,7.4380975,0.8458288190682557,13.28542250649509,2075605.151094,-156231.77584899997,7.6552310335901215,1.8409707663834187
Fear,SELL,31567.0,20578.0,0.6518832958469287,236483043.67999998,1422082.0025840001,47014.104823,1375067.8977609999,43.56029707482497,67.58590973646612,5.437371,0.8572261638643212,4.123579672592667,1836035.732294,-445252.881737,5.814657475491944,1.9880539463378073
Greed,BUY,24582.0,11349.0,0.4616792775201367,155076989.06,656928.5783340002,35059.8906431683,621868.6876908317,25.29772547761906,56.830875147325756,2.668205,0.6794431227420918,1.7568657524810876,1497137.4104009997,-852163.8083540001,4.010064236224163,2.260805478342339
Greed,SELL,25727.0,13833.0,0.5376841450616084,133594174.52,1535672.688747,28047.31354,1507625.375207,58.60090081264819,109.7333525488325,7.847451,0.8292488975637967,8.12559780241069,1730968.008689,-213026.54288099997,11.285113146765976,2.099441359683024
Neutral,BUY,18969.0,5861.0,0.3089778058938268,73626474.65,554415.0915499999,16466.424406870803,537948.667143129,28.3593582762997,93.66988182153217,7.437368,0.7713700733663197,3.998628571666613,732082.5984049999,-183083.421049,7.306456946368666,2.2364814402900115
Neutral,SELL,18717.0,12298.0,0.6570497408772773,106615588.43,738505.584,22907.843897,715597.740103,38.232502009029226,58.68098953024882,3.6185755,0.8434704830053668,4.443967306319156,931201.6837989999,-209542.87455599997,6.711942884157469,2.1486392594494257
